시작일,종료일,직업,직업코드,분류단계,AI 사용 비율(%)
2026-05-01,2026-06-01,Proofreaders and Copy Markers,43-9081.00,0,0.41
2026-04-01,2026-05-01,Food Preparation and Serving Related,35,1,0.41
2026-04-01,2026-05-01,"Education Administrators, Postsecondary",11-9033.00,0,0.41
2026-04-01,2026-05-01,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",41-4011.00,0,0.4
2026-05-01,2026-06-01,Retail Salespersons,41-2031.00,0,0.4
2026-05-01,2026-06-01,Correspondence Clerks,43-4021.00,0,0.39
2026-05-01,2026-06-01,Bioinformatics Scientists,19-1029.01,0,0.39
2026-04-01,2026-05-01,Proofreaders and Copy Markers,43-9081.00,0,0.39
2026-04-01,2026-05-01,Quality Control Systems Managers,11-3051.01,0,0.38
2026-05-01,2026-06-01,"Career/Technical Education Teachers, Postsecondary",25-1194.00,0,0.38
2026-05-01,2026-06-01,Quality Control Systems Managers,11-3051.01,0,0.38
2026-05-01,2026-06-01,First-Line Supervisors of Office and Administrative Support Workers,43-1011.00,0,0.38
2026-05-01,2026-06-01,Bioinformatics Technicians,15-2099.01,0,0.37
2026-05-01,2026-06-01,Receptionists and Information Clerks,43-4171.00,0,0.37
2026-05-01,2026-06-01,Search Marketing Strategists,13-1161.01,0,0.36
2026-05-01,2026-06-01,"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers",41-9091.00,0,0.36
2026-04-01,2026-05-01,Bioinformatics Technicians,15-2099.01,0,0.36
2026-04-01,2026-05-01,Search Marketing Strategists,13-1161.01,0,0.36
2026-04-01,2026-05-01,"Career/Technical Education Teachers, Postsecondary",25-1194.00,0,0.36
2026-04-01,2026-05-01,Nursing Assistants,31-1131.00,0,0.36
2026-04-01,2026-05-01,Correspondence Clerks,43-4021.00,0,0.36
2026-05-01,2026-06-01,Community Health Workers,21-1094.00,0,0.36
2026-04-01,2026-05-01,Retail Salespersons,41-2031.00,0,0.35
2026-05-01,2026-06-01,"Philosophy and Religion Teachers, Postsecondary",25-1126.00,0,0.35
2026-05-01,2026-06-01,Software Developers,15-1252.00,0,0.35
2026-04-01,2026-05-01,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",25-1051.00,0,0.35
2026-05-01,2026-06-01,Financial Risk Specialists,13-2054.00,0,0.35
2026-04-01,2026-05-01,Community Health Workers,21-1094.00,0,0.35
2026-04-01,2026-05-01,Receptionists and Information Clerks,43-4171.00,0,0.35
2026-04-01,2026-05-01,First-Line Supervisors of Office and Administrative Support Workers,43-1011.00,0,0.34
2026-04-01,2026-05-01,Software Developers,15-1252.00,0,0.34
2026-05-01,2026-06-01,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",41-3091.00,0,0.34
2026-05-01,2026-06-01,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",25-1051.00,0,0.34
2026-05-01,2026-06-01,Operations Research Analysts,15-2031.00,0,0.34
2026-05-01,2026-06-01,Transportation and Material Moving,53,1,0.34
2026-04-01,2026-05-01,Protective Service,33,1,0.34
2026-04-01,2026-05-01,"Philosophy and Religion Teachers, Postsecondary",25-1126.00,0,0.33
2026-04-01,2026-05-01,Operations Research Analysts,15-2031.00,0,0.33
2026-05-01,2026-06-01,Public Relations Specialists,27-3031.00,0,0.33
2026-04-01,2026-05-01,"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers",41-9091.00,0,0.33
2026-05-01,2026-06-01,Audio and Video Technicians,27-4011.00,0,0.33
2026-05-01,2026-06-01,Statisticians,15-2041.00,0,0.33
2026-05-01,2026-06-01,Protective Service,33,1,0.33
2026-04-01,2026-05-01,Financial Risk Specialists,13-2054.00,0,0.32
2026-05-01,2026-06-01,"Bookkeeping, Accounting, and Auditing Clerks",43-3031.00,0,0.32
2026-05-01,2026-06-01,Chiropractors,29-1011.00,0,0.32
2026-04-01,2026-05-01,Public Relations Specialists,27-3031.00,0,0.32
2026-04-01,2026-05-01,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",41-3091.00,0,0.31
2026-04-01,2026-05-01,Statisticians,15-2041.00,0,0.31
2026-04-01,2026-05-01,Audio and Video Technicians,27-4011.00,0,0.31
2026-04-01,2026-05-01,Transportation and Material Moving,53,1,0.31
2026-05-01,2026-06-01,Executive Secretaries and Executive Administrative Assistants,43-6011.00,0,0.3
2026-04-01,2026-05-01,"Bookkeeping, Accounting, and Auditing Clerks",43-3031.00,0,0.3
2026-04-01,2026-05-01,Chiropractors,29-1011.00,0,0.29
2026-05-01,2026-06-01,Automotive Engineers,17-2141.02,0,0.28
2026-04-01,2026-05-01,Executive Secretaries and Executive Administrative Assistants,43-6011.00,0,0.28
2026-04-01,2026-05-01,Automotive Engineers,17-2141.02,0,0.27
2026-05-01,2026-06-01,Personal Financial Advisors,13-2052.00,0,0.27
2026-04-01,2026-05-01,Industrial-Organizational Psychologists,19-3032.00,0,0.27
2026-05-01,2026-06-01,Industrial-Organizational Psychologists,19-3032.00,0,0.26
2026-05-01,2026-06-01,Web Administrators,15-1299.01,0,0.26
2026-05-01,2026-06-01,Mechanical Engineers,17-2141.00,0,0.26
2026-04-01,2026-05-01,Mechanical Engineers,17-2141.00,0,0.25
2026-05-01,2026-06-01,Digital Forensics Analysts,15-1299.06,0,0.25
2026-04-01,2026-05-01,Mechatronics Engineers,17-2199.05,0,0.25
2026-04-01,2026-05-01,Digital Forensics Analysts,15-1299.06,0,0.25
2026-04-01,2026-05-01,Web Administrators,15-1299.01,0,0.25
2026-04-01,2026-05-01,Chemical Technicians,19-4031.00,0,0.24
2026-05-01,2026-06-01,Environmental Engineering Technologists and Technicians,17-3025.00,0,0.24
2026-04-01,2026-05-01,Personal Financial Advisors,13-2052.00,0,0.24
2026-05-01,2026-06-01,Dietitians and Nutritionists,29-1031.00,0,0.24
2026-05-01,2026-06-01,Chemical Technicians,19-4031.00,0,0.24
2026-05-01,2026-06-01,"Interviewers, Except Eligibility and Loan",43-4111.00,0,0.23
2026-05-01,2026-06-01,Mechatronics Engineers,17-2199.05,0,0.23
2026-04-01,2026-05-01,Environmental Engineering Technologists and Technicians,17-3025.00,0,0.22
2026-04-01,2026-05-01,"Interviewers, Except Eligibility and Loan",43-4111.00,0,0.22
2026-05-01,2026-06-01,Fitness and Wellness Coordinators,11-9179.01,0,0.22
2026-05-01,2026-06-01,Clinical Data Managers,15-2051.02,0,0.22
2026-04-01,2026-05-01,Dietitians and Nutritionists,29-1031.00,0,0.22
2026-04-01,2026-05-01,Financial Quantitative Analysts,13-2099.01,0,0.22
2026-04-01,2026-05-01,Correctional Officers and Jailers,33-3012.00,0,0.21
2026-04-01,2026-05-01,Fitness and Wellness Coordinators,11-9179.01,0,0.21
2026-05-01,2026-06-01,General and Operations Managers,11-1021.00,0,0.21
2026-05-01,2026-06-01,Pharmacy Technicians,29-2052.00,0,0.21
2026-05-01,2026-06-01,Financial and Investment Analysts,13-2051.00,0,0.21
2026-05-01,2026-06-01,Financial Quantitative Analysts,13-2099.01,0,0.21
2026-05-01,2026-06-01,Market Research Analysts and Marketing Specialists,13-1161.00,0,0.21
2026-05-01,2026-06-01,Video Game Designers,15-1255.01,0,0.21
2026-04-01,2026-05-01,Clinical Data Managers,15-2051.02,0,0.21
2026-05-01,2026-06-01,Training and Development Managers,11-3131.00,0,0.21
2026-05-01,2026-06-01,Geothermal Technicians,49-9099.01,0,0.21
2026-04-01,2026-05-01,Market Research Analysts and Marketing Specialists,13-1161.00,0,0.2
2026-04-01,2026-05-01,Pharmacy Technicians,29-2052.00,0,0.2
2026-04-01,2026-05-01,Agricultural Technicians,19-4012.00,0,0.2
2026-05-01,2026-06-01,"Art, Drama, and Music Teachers, Postsecondary",25-1121.00,0,0.2
2026-04-01,2026-05-01,"Electronics Engineers, Except Computer",17-2072.00,0,0.2
2026-05-01,2026-06-01,"Electronics Engineers, Except Computer",17-2072.00,0,0.2
2026-05-01,2026-06-01,Exercise Physiologists,29-1128.00,0,0.2
2026-05-01,2026-06-01,Paralegals and Legal Assistants,23-2011.00,0,0.2
2026-04-01,2026-05-01,General and Operations Managers,11-1021.00,0,0.2
2026-04-01,2026-05-01,Financial and Investment Analysts,13-2051.00,0,0.2
2026-05-01,2026-06-01,"Educational, Guidance, and Career Counselors and Advisors",21-1012.00,0,0.2
2026-04-01,2026-05-01,Training and Development Managers,11-3131.00,0,0.19
2026-04-01,2026-05-01,Network and Computer Systems Administrators,15-1244.00,0,0.19
2026-05-01,2026-06-01,Agricultural Technicians,19-4012.00,0,0.19
2026-04-01,2026-05-01,Video Game Designers,15-1255.01,0,0.19
2026-05-01,2026-06-01,Mechanical Engineering Technologists and Technicians,17-3027.00,0,0.19
2026-05-01,2026-06-01,Clergy,21-2011.00,0,0.18
2026-05-01,2026-06-01,Correctional Officers and Jailers,33-3012.00,0,0.18
2026-04-01,2026-05-01,Mechanical Engineering Technologists and Technicians,17-3027.00,0,0.18
2026-04-01,2026-05-01,"Educational, Guidance, and Career Counselors and Advisors",21-1012.00,0,0.18
2026-05-01,2026-06-01,Project Management Specialists,13-1082.00,0,0.18
2026-04-01,2026-05-01,Exercise Physiologists,29-1128.00,0,0.18
2026-05-01,2026-06-01,"English Language and Literature Teachers, Postsecondary",25-1123.00,0,0.17
2026-05-01,2026-06-01,Waiters and Waitresses,35-3031.00,0,0.17
2026-05-01,2026-06-01,Public Relations Managers,11-2032.00,0,0.17
2026-04-01,2026-05-01,"English Language and Literature Teachers, Postsecondary",25-1123.00,0,0.17
2026-04-01,2026-05-01,"Art, Drama, and Music Teachers, Postsecondary",25-1121.00,0,0.17
2026-05-01,2026-06-01,Commercial and Industrial Designers,27-1021.00,0,0.17
2026-04-01,2026-05-01,File Clerks,43-4071.00,0,0.17
2026-05-01,2026-06-01,File Clerks,43-4071.00,0,0.17
2026-05-01,2026-06-01,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",35-9031.00,0,0.17
2026-04-01,2026-05-01,Project Management Specialists,13-1082.00,0,0.17
2026-04-01,2026-05-01,Geothermal Technicians,49-9099.01,0,0.17
2026-04-01,2026-05-01,Paralegals and Legal Assistants,23-2011.00,0,0.17
2026-04-01,2026-05-01,Public Relations Managers,11-2032.00,0,0.17
2026-05-01,2026-06-01,Network and Computer Systems Administrators,15-1244.00,0,0.16
2026-05-01,2026-06-01,Actors,27-2011.00,0,0.16
2026-05-01,2026-06-01,Chief Executives,11-1011.00,0,0.16
2026-04-01,2026-05-01,Clergy,21-2011.00,0,0.16
2026-05-01,2026-06-01,Medical Dosimetrists,29-2036.00,0,0.16
2026-04-01,2026-05-01,Chief Executives,11-1011.00,0,0.16
2026-05-01,2026-06-01,"Court, Municipal, and License Clerks",43-4031.00,0,0.16
2026-04-01,2026-05-01,Commercial and Industrial Designers,27-1021.00,0,0.16
2026-05-01,2026-06-01,"Fine Artists, Including Painters, Sculptors, and Illustrators",27-1013.00,0,0.15
2026-05-01,2026-06-01,First-Line Supervisors of Production and Operating Workers,51-1011.00,0,0.15
2026-05-01,2026-06-01,"Inspectors, Testers, Sorters, Samplers, and Weighers",51-9061.00,0,0.15
2026-05-01,2026-06-01,"Transportation, Storage, and Distribution Managers",11-3071.00,0,0.15
2026-04-01,2026-05-01,First-Line Supervisors of Production and Operating Workers,51-1011.00,0,0.15
2026-05-01,2026-06-01,"Production, Planning, and Expediting Clerks",43-5061.00,0,0.15
2026-04-01,2026-05-01,"Court, Municipal, and License Clerks",43-4031.00,0,0.15
2026-04-01,2026-05-01,Biostatisticians,15-2041.01,0,0.15
2026-04-01,2026-05-01,Industrial Engineering Technologists and Technicians,17-3026.00,0,0.15
2026-04-01,2026-05-01,Management Analysts,13-1111.00,0,0.15
2026-05-01,2026-06-01,Pharmacists,29-1051.00,0,0.15
2026-05-01,2026-06-01,Management Analysts,13-1111.00,0,0.15
2026-04-01,2026-05-01,Craft Artists,27-1012.00,0,0.15
2026-04-01,2026-05-01,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",35-9031.00,0,0.15
2026-05-01,2026-06-01,Industrial Engineering Technologists and Technicians,17-3026.00,0,0.15
2026-04-01,2026-05-01,Actors,27-2011.00,0,0.15
2026-05-01,2026-06-01,Administrative Services Managers,11-3012.00,0,0.14
2026-05-01,2026-06-01,Biostatisticians,15-2041.01,0,0.14
2026-04-01,2026-05-01,"Production, Planning, and Expediting Clerks",43-5061.00,0,0.14
